timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1441243815879,0,-318,-6.9873046875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815879,0,-296,-6.50390625E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815880,0,-313,-6.87744140625E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815880,0,-348,-7.646484375E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815880,0,-356,-7.822265625E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815881,0,-323,-7.09716796875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815881,0,-285,-6.26220703125E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815881,0,-278,-6.108398437500001E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815882,0,-286,-6.2841796875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815882,0,-300,-6.591796875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815882,0,-299,-6.56982421875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815883,0,-280,-6.15234375E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815883,0,-293,-6.43798828125E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815886,0,-312,-6.85546875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815887,0,-307,-6.74560546875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815888,0,-309,-6.78955078125E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815888,0,-326,-7.163085937500001E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815888,0,-328,-7.207031249999999E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815889,0,-300,-6.591796875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815889,0,-262,-5.7568359375E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815889,0,6,1.318359375E-6,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815890,0,-267,-5.86669921875E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815890,0,-284,-6.240234375E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815890,0,-274,-6.0205078124999997E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815891,0,2,4.39453125E-7,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815900,0,11,2.4169921875E-6,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815901,0,22,4.833984375E-6,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815901,0,27,5.9326171875000005E-6,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815901,0,7,1.5380859375E-6,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815902,0,-277,-6.0864257812500005E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815902,0,-292,-6.416015625000001E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815902,0,-285,-6.26220703125E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815903,0,-265,-5.82275390625E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815905,0,-257,-5.64697265625E-5,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815905,0,5,1.0986328125E-6,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
1441243815906,0,24,5.2734375E-6,57,43,38,86706,89272,25871,16843,13854,11934,13177,8396,Tag0,unknown
